year,country_code,vehicle_category,scenario,total_fleet,stock_ice,stock_hev,stock_phev,stock_bev,stock_fcev,bev_stock,non_ev_stock,bev_share_pct,electrified_share_pct,new_sales_bev_pct,new_sales_hev_pct,new_sales_phev_pct,new_sales_ice_pct,new_sales_fcev_pct
2025,EGY,passenger_car,reference,7380000,5184000,1008000,432000,504000,72000,504000,6192000,6.83,27.32,7.0,14.0,6.0,72.0,1.0
2026,EGY,passenger_car,reference,7564500,5172960,1013616,436656,515664,73104,515664,6186576,6.82,26.96,9.2,14.8,6.8,68.0,1.2
2027,EGY,passenger_car,reference,7753612,5150848,1024712,445872,538777,75291,538777,6175560,6.95,26.89,11.4,15.6,7.6,64.0,1.4
2028,EGY,passenger_car,reference,7947453,5117603,1041171,459568,573158,78542,573158,6158774,7.21,27.08,13.6,16.4,8.4,60.0,1.6
2029,EGY,passenger_car,reference,8146139,5073134,1062890,477674,618660,82843,618660,6136024,7.59,27.52,15.8,17.2,9.2,56.0,1.8
2030,EGY,passenger_car,reference,8349793,5017325,1089785,500137,675170,88181,675170,6107109,8.09,28.18,18.0,18.0,10.0,52.0,2.0
2031,EGY,passenger_car,reference,8558537,4953370,1119557,524686,743716,94549,743716,6072926,8.69,29.01,20.4,18.4,10.4,48.6,2.2
2032,EGY,passenger_car,reference,8772501,4881042,1152186,551329,824224,101939,824224,6033229,9.4,29.98,22.8,18.8,10.8,45.2,2.4
2033,EGY,passenger_car,reference,8991813,4800100,1187662,580075,916654,110349,916654,5987762,10.19,31.08,25.2,19.2,11.2,41.8,2.6
2034,EGY,passenger_car,reference,9216609,4710284,1225978,610940,1020993,119777,1020993,5936261,11.08,32.31,27.6,19.6,11.6,38.4,2.8
2035,EGY,passenger_car,reference,9447024,4611319,1267134,643943,1137259,130225,1137259,5878453,12.04,33.65,30.0,20.0,12.0,35.0,3.0
2036,EGY,passenger_car,reference,9683200,4505434,1306099,676590,1269276,142957,1269276,5811533,13.11,35.06,33.0,19.6,12.0,32.0,3.4
2037,EGY,passenger_car,reference,9925280,4392280,1342971,708950,1417055,157957,1417055,5735251,14.28,36.54,36.0,19.2,12.0,29.0,3.8
2038,EGY,passenger_car,reference,10173412,4271500,1377836,741089,1580642,175217,1580642,5649336,15.54,38.09,39.0,18.8,12.0,26.0,4.2
2039,EGY,passenger_car,reference,10427747,4142725,1410775,773070,1760121,194735,1760121,5553500,16.88,39.69,42.0,18.4,12.0,23.0,4.6
2040,EGY,passenger_car,reference,10688440,4005580,1441856,804954,1955612,216512,1955612,5447436,18.3,41.34,45.0,18.0,12.0,20.0,5.0
2041,EGY,passenger_car,reference,10955651,3866803,1468293,833948,2167268,239131,2167268,5335096,19.78,42.98,48.0,17.2,11.6,18.0,5.2
2042,EGY,passenger_car,reference,11229543,3725876,1490189,860153,2395276,262629,2395276,5216065,21.33,44.6,51.0,16.4,11.2,16.0,5.4
2043,EGY,passenger_car,reference,11510281,3582294,1507630,883662,2639854,287044,2639854,5089924,22.93,46.2,54.0,15.6,10.8,14.0,5.6
2044,EGY,passenger_car,reference,11798038,3435556,1520689,904556,2901255,312414,2901255,4956246,24.59,47.8,57.0,14.8,10.4,12.0,5.8
2045,EGY,passenger_car,reference,12092989,3285173,1529425,922906,3179759,338779,3179759,4814598,26.29,49.37,60.0,14.0,10.0,10.0,6.0
2046,EGY,passenger_car,reference,12395314,3138719,1533882,937162,3470844,364565,3470844,4672601,28.0,50.88,62.4,13.2,9.4,9.0,6.0
2047,EGY,passenger_car,reference,12705197,2995580,1534091,947403,3774932,389842,3774932,4529671,29.71,52.31,64.8,12.4,8.8,8.0,6.0
2048,EGY,passenger_car,reference,13022827,2855165,1530072,953698,4092462,414674,4092462,4385237,31.43,53.68,67.2,11.6,8.2,7.0,6.0
2049,EGY,passenger_car,reference,13348398,2716912,1521831,956101,4423891,439120,4423891,4238743,33.14,54.99,69.6,10.8,7.6,6.0,6.0
2050,EGY,passenger_car,reference,13682107,2580279,1509365,954653,4769688,463239,4769688,4089645,34.86,56.26,72.0,10.0,7.0,5.0,6.0
2025,EGY,passenger_car,accelerated,7380000,4680000,1080000,576000,792000,72000,792000,5760000,10.73,34.15,11.0,15.0,8.0,65.0,1.0
2026,EGY,passenger_car,accelerated,7564500,4653360,1084752,580896,817920,75072,817920,5738112,10.81,33.82,16.0,15.6,8.8,58.0,1.6
2027,EGY,passenger_car,accelerated,7753612,4600329,1094132,590582,869295,81162,869295,5694461,11.21,33.99,21.0,16.2,9.6,51.0,2.2
2028,EGY,passenger_car,accelerated,7947453,4521080,1108030,604969,945738,90224,945738,5629110,11.9,34.59,26.0,16.8,10.4,44.0,2.8
2029,EGY,passenger_car,accelerated,8146139,4415712,1126352,623978,1046936,102224,1046936,5542063,12.85,35.59,31.0,17.4,11.2,37.0,3.4
2030,EGY,passenger_car,accelerated,8349793,4284254,1149015,647549,1172648,117132,1172648,5433269,14.04,36.96,36.0,18.0,12.0,30.0,4.0
2031,EGY,passenger_car,accelerated,8558537,4143366,1169272,668951,1319359,134929,1319359,5312638,15.42,38.47,40.4,17.4,11.6,26.0,4.6
2032,EGY,passenger_car,accelerated,8772501,3992667,1187176,688258,1487017,155603,1487017,5179843,16.95,40.1,44.8,16.8,11.2,22.0,5.2
2033,EGY,passenger_car,accelerated,8991813,3831759,1202774,705536,1675620,179150,1675620,5034533,18.63,41.85,49.2,16.2,10.8,18.0,5.8
2034,EGY,passenger_car,accelerated,9216609,3660232,1216104,720843,1885220,205572,1885220,4876336,20.45,43.7,53.6,15.6,10.4,14.0,6.4
2035,EGY,passenger_car,accelerated,9447024,3477661,1227197,734231,2115914,234878,2115914,4704857,22.4,45.65,58.0,15.0,10.0,10.0,7.0
2036,EGY,passenger_car,accelerated,9683200,3298720,1233556,745743,2357772,264565,2357772,4532276,24.35,47.52,60.8,14.0,9.6,8.4,7.2
2037,EGY,passenger_car,accelerated,9925280,3122703,1235240,755418,2611155,294698,2611155,4357942,26.31,49.33,63.6,13.0,9.2,6.8,7.4
2038,EGY,passenger_car,accelerated,10173412,2948930,1232293,763285,2876437,325339,2876437,4181223,28.27,51.09,66.4,12.0,8.8,5.2,7.6
2039,EGY,passenger_car,accelerated,10427747,2776751,1224745,769370,3154008,356552,3154008,4001496,30.25,52.79,69.2,11.0,8.4,3.6,7.8
2040,EGY,passenger_car,accelerated,10688440,2605538,1212613,773693,3444273,388396,3444273,3818151,32.22,54.44,72.0,10.0,8.0,2.0,8.0
2041,EGY,passenger_car,accelerated,10955651,2443236,1197328,773418,3741951,419508,3741951,3640565,34.16,55.97,74.0,9.2,7.2,1.6,8.0
2042,EGY,passenger_car,accelerated,11229543,2289118,1178858,768601,4047574,449971,4047574,3467977,36.04,57.39,76.0,8.4,6.4,1.2,8.0
2043,EGY,passenger_car,accelerated,11510281,2142500,1157164,759285,4361672,479864,4361672,3299664,37.89,58.71,78.0,7.6,5.6,0.8,8.0
2044,EGY,passenger_car,accelerated,11798038,2002736,1132200,745499,4684775,509261,4684775,3134935,39.71,59.94,80.0,6.8,4.8,0.4,8.0
2045,EGY,passenger_car,accelerated,12092989,1869220,1103912,727260,5017416,538233,5017416,2973132,41.49,61.08,82.0,6.0,4.0,0.0,8.0
2046,EGY,passenger_car,accelerated,12395314,1744605,1073852,707799,5352067,566847,5352067,2818458,43.18,62.12,83.0,5.4,3.6,0.0,8.0
2047,EGY,passenger_car,accelerated,12705197,1628298,1041927,687056,5689401,595166,5689401,2670226,44.78,63.07,84.0,4.8,3.2,0.0,8.0
2048,EGY,passenger_car,accelerated,13022827,1519745,1008040,664969,6030068,623249,6030068,2527785,46.3,63.94,85.0,4.2,2.8,0.0,8.0
2049,EGY,passenger_car,accelerated,13348398,1418429,972092,641474,6374706,651154,6374706,2390521,47.76,64.72,86.0,3.6,2.4,0.0,8.0
2050,EGY,passenger_car,accelerated,13682107,1323867,933983,616507,6723933,678935,6723933,2257850,49.14,65.44,87.0,3.0,2.0,0.0,8.0
2025,EGY,passenger_car,conservative,7380000,5760000,792000,288000,288000,72000,288000,6552000,3.9,19.51,4.0,11.0,4.0,80.0,1.0
2026,EGY,passenger_car,conservative,7564500,5757792,796272,291432,294384,72120,294384,6554064,3.89,19.22,5.2,11.6,4.6,77.6,1.0
2027,EGY,passenger_car,conservative,7753612,5753173,804712,298227,307034,72355,307034,6557885,3.96,19.12,6.4,12.2,5.2,75.2,1.0
2028,EGY,passenger_car,conservative,7947453,5745937,817229,308326,325850,72700,325850,6563165,4.1,19.18,7.6,12.8,5.8,72.8,1.0
2029,EGY,passenger_car,conservative,8146139,5735875,833744,321680,350751,73152,350751,6569618,4.31,19.39,8.8,13.4,6.4,70.4,1.0
2030,EGY,passenger_car,conservative,8349793,5722775,854192,338250,381676,73706,381676,6576966,4.57,19.73,10.0,14.0,7.0,68.0,1.0
2031,EGY,passenger_car,conservative,8558537,5705307,879630,356892,418576,75472,418576,6584937,4.89,20.22,11.2,14.8,7.4,65.4,1.2
2032,EGY,passenger_car,conservative,8772501,5683271,909997,377604,461421,78429,461421,6593268,5.26,20.83,12.4,15.6,7.8,62.8,1.4
2033,EGY,passenger_car,conservative,8991813,5656456,945243,400386,510197,82557,510197,6601699,5.67,21.56,13.6,16.4,8.2,60.2,1.6
2034,EGY,passenger_car,conservative,9216609,5624644,985333,425247,564903,87844,564903,6609977,6.13,22.39,14.8,17.2,8.6,57.6,1.8
2035,EGY,passenger_car,conservative,9447024,5587610,1030243,452197,625553,94276,625553,6617854,6.62,23.31,16.0,18.0,9.0,55.0,2.0
2036,EGY,passenger_car,conservative,9683200,5542600,1077444,481252,697214,101847,697214,6620044,7.2,24.35,18.0,18.4,9.4,52.0,2.2
2037,EGY,passenger_car,conservative,9925280,5489411,1126977,512432,779843,110550,779843,6616388,7.86,25.49,20.0,18.8,9.8,49.0,2.4
2038,EGY,passenger_car,conservative,10173412,5427826,1178889,545762,873424,120384,873424,6606715,8.59,26.72,22.0,19.2,10.2,46.0,2.6
2039,EGY,passenger_car,conservative,10427747,5357608,1233229,581270,977970,131349,977970,6590837,9.38,28.04,24.0,19.6,10.6,43.0,2.8
2040,EGY,passenger_car,conservative,10688440,5278508,1290050,618989,1093520,143448,1093520,6568558,10.23,29.43,26.0,20.0,11.0,40.0,3.0
2041,EGY,passenger_car,conservative,10955651,5194531,1346559,657530,1220136,156686,1220136,6541090,11.14,30.86,28.0,20.0,11.2,37.6,3.2
2042,EGY,passenger_car,conservative,11229543,5105321,1402864,696957,1357907,171074,1357907,6508186,12.09,32.31,30.0,20.0,11.4,35.2,3.4
2043,EGY,passenger_car,conservative,11510281,5010519,1459067,737335,1506943,186620,1506943,6469586,13.09,33.8,32.0,20.0,11.6,32.8,3.6
2044,EGY,passenger_car,conservative,11798038,4909760,1515266,778727,1667380,203338,1667380,6425026,14.13,35.3,34.0,20.0,11.8,30.4,3.8
2045,EGY,passenger_car,conservative,12092989,4802672,1571556,821196,1839374,221243,1839374,6374228,15.21,36.83,36.0,20.0,12.0,28.0,4.0
2046,EGY,passenger_car,conservative,12395314,4692106,1628025,863194,2023105,238742,2023105,6320131,16.32,38.35,38.0,20.0,12.0,26.0,4.0
2047,EGY,passenger_car,conservative,12705197,4577624,1684761,904810,2218773,255880,2218773,6262385,17.46,39.86,40.0,20.0,12.0,24.0,4.0
2048,EGY,passenger_car,conservative,13022827,4458792,1741846,946131,2426600,272702,2426600,6200638,18.63,41.37,42.0,20.0,12.0,22.0,4.0
2049,EGY,passenger_car,conservative,13348398,4335177,1799361,987238,2646830,289249,2646830,6134538,19.83,42.87,44.0,20.0,12.0,20.0,4.0
2050,EGY,passenger_car,conservative,13682107,4206346,1857382,1028209,2879725,305561,2879725,6063728,21.05,44.37,46.0,20.0,12.0,18.0,4.0
