threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,4437231.0,665.585,1515.936,7644230,
0.35,4036760.8,605.514,1379.119,6901195,-0.741
0.4,3583151.2,537.473,1224.148,6035973,-1.152
0.45,3004756.0,450.713,1026.545,4887505,-2.282
0.5,2059573.4,308.936,703.633,3041597,-3.16
0.55,1703217.0,255.483,581.887,2338701,-1.584
0.6,1568892.5,235.334,535.996,2147680,-1.067
0.65,1424176.2,213.626,486.556,1944570,-1.435
0.7,1254408.6,188.161,428.556,1707747,-2.183
0.75,1033054.2,154.958,352.933,1399168,-3.599
0.8,758652.9,113.798,259.186,1019686,
